Keyword Stats 2025-01-27 at 12_05_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"January 1, 2023 - December 31, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024
unv ip,AED,10,0%,0%,Low,1,,,,,,,,20,10,10,10,30,10,10,20,10,10,20,10,10,10,10,20,20,10,30,10,10,10,10,10
unv ip camera default ip,AED,110,0%,-36%,Low,0,,,,,,,,110,90,110,140,140,140,170,110,110,90,110,140,110,110,110,110,110,90,110,70,70,90,90,90
unv ip camera installation,AED,10,∞,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,0,10,10
unv ip camera software,AED,10,0%,0%,Low,0,,,,,,,,0,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
unv ip dome camera,AED,10,-50%,0%,High,96,,,,,,,,10,10,10,10,20,10,20,10,20,10,10,10,10,10,10,0,10,10,10,10,10,20,10,10
unv nvr default ip,AED,40,0%,25%,Low,0,,,,,,,,30,40,50,50,30,40,30,40,30,30,30,40,30,50,40,40,30,50,40,40,30,50,30,50
unv nvr firmware download,AED,10,0%,0%,Low,0,,,,,,,,20,20,10,10,10,10,10,10,10,20,10,10,20,20,10,10,10,10,10,10,10,10,10,10
unv nvr firmware update,AED,10,-100%,0%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,0
unv nvr price,AED,30,0%,-60%,Low,19,,,,,,,,50,50,40,40,30,30,30,30,20,30,30,50,20,20,30,30,10,20,20,20,20,20,10,20
unv nvr software,AED,30,100%,-50%,Low,3,,,,,,,,20,20,30,30,30,20,30,30,40,30,30,40,30,40,30,40,30,30,20,30,20,10,20,20
unv nvr301,AED,10,0%,0%,Low,17,,,,,,,,10,10,10,0,10,0,0,10,10,10,10,10,10,10,10,0,0,10,0,0,10,10,0,10
unv products,AED,30,33%,0%,Low,0,,,,,,,,30,20,30,40,50,20,40,20,40,20,30,40,20,20,20,30,30,20,20,30,30,30,30,40
unv view,AED,90,0%,125%,Low,5,,,,,,,,40,30,40,50,50,50,50,70,20,20,40,40,70,50,70,110,480,320,210,140,70,90,70,90
unvcctv,AED,720,-58%,39%,Medium,44,0.74,19.83,,,,,,720,720,880,590,590,590,720,720,720,720,590,720,720,590,720,720,590,480,1000,590,590,2400,880,1000
cctv camera,AED,5400,0%,0%,High,100,19.83,152.87,1%,,,Y,,5400,4400,5400,5400,5400,5400,5400,5400,5400,5400,6600,5400,6600,5400,5400,5400,6600,5400,6600,5400,5400,5400,5400,5400
ip camera,AED,880,-18%,-18%,High,100,14.65,104.31,2%,,,Y,,880,880,880,880,880,880,880,1000,880,880,880,880,880,880,1000,720,880,880,880,880,720,880,880,720
wifi camera,AED,880,0%,14%,High,100,17.24,117.82,,,,,,720,880,880,720,880,880,880,880,880,1000,880,880,1000,1000,1000,880,1000,1000,1000,1000,1000,1000,1000,1000
cctv camera for home,AED,260,0%,-19%,High,100,19.83,184.48,,,,Y,,320,260,390,320,320,260,260,260,260,320,390,260,320,260,320,210,210,260,260,210,260,210,260,210
cctv camera installation,AED,1300,0%,30%,Medium,45,115.47,421.06,< 1%,,,Y,,1000,1000,1000,1000,1000,1000,1000,1000,1300,1300,1000,1000,1000,880,1000,1300,1300,1300,1600,1300,1300,1300,1300,1300
cctv camera price,AED,880,-18%,-28%,High,100,17.24,124.14,< 1%,,,,,880,720,720,880,880,720,880,720,880,880,880,1000,1000,1000,880,720,880,720,880,880,880,880,880,720
cctv camera system,AED,50,67%,25%,High,100,42.24,292.2,6%,,,,,70,50,40,50,70,50,70,70,70,50,50,40,40,70,30,30,70,50,70,50,30,30,50,50
poe camera system,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,20,30,10,10,10,20,10,10,10,10,10,20,10,10,20,20,10,10,10
poe camera,AED,50,75%,0%,High,100,12.07,26.72,,,,,,50,70,40,50,50,40,30,50,50,50,50,70,50,70,70,50,90,50,50,70,50,40,70,70
ip kamera,AED,10,0%,0%,High,100,,,,,,,,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10
axis camera,AED,260,-19%,0%,High,100,12.07,121.74,,,,,,260,320,260,210,260,260,260,260,260,320,320,260,320,260,260,260,320,260,390,320,320,320,320,260
ip camera system,AED,20,0%,0%,High,100,,,,,,,,20,30,20,10,20,20,20,20,30,20,10,10,20,10,10,10,20,20,20,10,10,10,10,10
ptz camera system,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0
nvr camera system,AED,390,0%,0%,High,100,17.24,150.19,1%,,,,,320,320,390,320,320,320,390,390,390,480,390,390,480,480,480,390,390,390,480,390,390,390,390,390
best poe security camera system,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,0,10,0,10,0,10,10,10,10
dome camera,AED,480,-19%,0%,High,100,17.24,137.07,,,,,,480,390,480,390,480,390,480,590,480,590,480,480,590,480,480,480,590,480,590,590,480,590,480,480
unv camera,AED,590,0%,0%,High,100,11.46,122.41,2%,,,Y,,590,590,590,480,590,590,720,590,590,590,590,590,590,590,590,480,590,590,880,590,590,590,720,590
poe security camera,AED,10,0%,0%,High,90,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10
ip security camera system,AED,10,0%,0%,High,100,,,,,,,,20,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ip camera software,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,20,10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10
network video recorder,AED,720,-18%,0%,High,100,14.65,26.72,,,,,,590,590,720,590,720,590,720,590,720,720,720,720,720,720,720,590,880,720,880,880,720,880,720,720
wifi cctv camera,AED,170,-19%,21%,High,100,19.83,140.51,,,,,,140,110,170,140,170,110,140,140,170,170,170,140,170,170,210,140,170,140,170,210,210,210,170,170
poe kamera,AED,10,0%,∞,Low,0,,,,,,,,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,0,0,0,0,0,10,10,10
axis security cameras,AED,50,-43%,-20%,High,91,23.47,149.13,,,,,,70,70,50,50,70,50,70,50,50,70,70,50,70,70,50,50,50,40,70,70,40,70,50,40
cctv cameras for sale,AED,10,0%,0%,Medium,48,,,,,,,,10,10,10,10,20,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10
uniview camera,AED,50,-40%,-57%,High,100,10.56,162.6,,,,Y,,40,50,50,30,50,40,30,50,50,50,50,70,70,50,50,40,50,50,70,50,50,50,40,30
nvr camera,AED,110,-36%,-36%,High,100,14.65,104.91,,,,,,70,90,70,90,90,70,90,110,90,140,140,140,170,110,140,110,140,110,140,140,110,140,90,90
cctv cloud storage,AED,20,0%,100%,High,100,22.41,206.03,,,,,,10,20,30,10,10,20,20,20,10,20,20,10,20,10,20,20,10,20,10,20,20,20,20,20
onvif camera,AED,30,0%,50%,High,100,12.07,45.69,,,,,,30,20,20,20,20,20,30,20,20,20,30,20,20,20,30,30,20,20,20,30,40,30,20,30
best cctv camera,AED,70,-22%,0%,High,100,17.24,140.51,1%,,,,,30,30,50,70,40,50,50,90,50,90,90,70,70,70,70,50,70,70,70,90,50,90,70,70
ip security camera,AED,10,0%,0%,High,100,14.65,150,,,,,,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10
bullet camera,AED,390,-19%,0%,High,100,17.24,139.65,< 1%,,,,,390,390,390,320,390,390,390,390,390,390,390,390,480,480,480,390,480,390,480,480,480,480,480,390
cctv security system,AED,50,-44%,0%,High,99,50.46,206.37,,,,,,50,50,50,40,40,50,70,40,50,70,30,50,90,50,50,70,50,90,90,70,50,90,40,50
network camera,AED,50,0%,25%,High,100,14.65,107.26,2%,,,,,70,40,50,40,40,20,50,50,40,70,50,40,50,40,70,30,50,50,50,40,40,50,40,50
cctv camera wireless,AED,50,33%,-20%,High,100,19.83,142.46,,,,,,70,40,50,70,70,40,50,40,30,50,50,50,50,70,70,50,40,30,30,50,30,30,30,40
ip camera cloud storage,AED,10,0%,0%,High,100,15.52,96.46,,,,,,10,0,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10
ptz security camera,AED,20,100%,100%,High,100,31.4,75.04,,,,,,10,10,20,10,30,20,10,10,10,30,30,10,10,30,20,30,30,20,30,20,20,10,40,20
cctv company,AED,90,0%,29%,Medium,36,124.39,343.14,,,,Y,,70,40,110,70,170,50,50,70,170,90,70,70,110,90,90,70,140,90,90,70,110,90,70,90
security camera software,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,0,0,10,10,10,10,10,10,10
cloud nvr for ip cameras,AED,10,0%,-100%,Unknown,,,,,,,,,0,10,0,10,0,0,10,10,10,0,10,10,0,0,0,0,0,0,10,0,10,0,0,0
nvr recorder,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
poe camera outdoor,AED,10,-50%,0%,High,100,,,,,,,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,10,10
ip camera wifi,AED,10,0%,0%,High,100,,,,,,,,20,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10
best poe camera system,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,0,0,0,0,0,10,10,0,0,0,10,0,0,0,10,0,10,0,10
camera ptz,AED,10,0%,0%,High,100,9.48,59.67,,,,Y,,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10,40,10
wireless ip camera,AED,50,33%,-20%,High,100,17.24,86.2,,,,,,50,70,70,40,50,30,70,50,40,40,50,50,50,50,40,30,40,50,40,50,40,30,30,40
poe cctv,AED,10,-50%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,30,10,10,10,20,10,10,10,10,20,10,20,30,20,10,10
ip camera outdoor,AED,30,-33%,0%,Low,22,,,,,,,,50,30,40,30,30,20,40,30,40,40,30,20,20,20,20,30,30,20,30,30,30,30,30,20
cctv software,AED,20,0%,100%,Low,14,37.21,101.19,,,,,,20,20,10,10,10,10,10,10,20,20,10,10,20,20,10,20,20,20,20,20,20,20,10,20
poe ip camera,AED,10,0%,0%,High,100,17.24,43.96,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,30,20,10,10,10
unv cctv,AED,50,0%,0%,High,100,12.22,150.68,2%,,,Y,,70,90,70,40,70,50,70,70,30,50,50,50,70,90,40,20,50,40,30,40,40,50,50,50
unv camera system,AED,10,0%,0%,High,100,,,,,,,,10,10,10,0,10,10,0,10,0,10,10,10,0,0,10,10,10,10,10,10,10,10,0,10
ptz camera outdoor,AED,20,300%,100%,High,100,20.69,149.16,,,,,,20,30,30,20,10,40,20,20,30,10,10,20,10,20,30,10,10,10,10,10,20,10,20,40
wireless network camera,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,0,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10
security camera software for pc,AED,10,0%,0%,Low,14,,,,,,,,0,0,10,10,10,10,0,10,10,10,0,10,0,0,10,10,0,0,0,10,0,10,10,10
ip cctv camera,AED,90,29%,0%,High,100,17.24,88.01,,,,,,90,90,90,70,90,70,90,110,110,90,90,90,70,90,90,70,90,90,70,70,90,70,110,90
cloud ip camera,AED,10,0%,0%,High,100,,,,,,,,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10
camera cloud storage,AED,10,0%,0%,High,100,14.65,137.07,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,20,20,10,10,10,20,10
best poe camera,AED,10,∞,0%,Medium,50,,,,,,,,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10
internet camera,AED,10,-50%,0%,High,100,14.65,37.93,,,,,,20,10,10,10,20,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,20,10,10
buy cctv camera,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,20,10,20,10,20,20,10,10,10,10,10,10,10,20,10,10,20,10,10,10
24 camera security system,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,10,0
rotating security camera,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,0,10,10,10,10,0,0,10,10,0,10,10,10,0,10,10,0,10,10,10,0
cctv camera recorder,AED,40,0%,250%,High,100,17.24,131.03,,,,,,50,40,30,30,90,40,30,50,70,50,50,20,50,50,50,30,50,30,30,30,20,70,30,70
cctv camera company,AED,40,0%,-40%,High,84,57.4,258.17,,,,,,30,30,20,20,20,90,20,10,40,20,170,50,40,30,20,10,50,40,50,30,20,30,20,30
ptz ip camera,AED,10,0%,100%,High,100,59.99,114.65,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,20,10,20
cctv solutions,AED,50,0%,-29%,Medium,57,118.76,361.44,,,,,,90,50,70,30,50,70,70,70,50,20,70,70,70,90,50,20,70,50,90,50,40,50,50,50
axis cctv,AED,50,-43%,-20%,High,91,23.47,149.13,,,,,,70,70,50,50,70,50,70,50,50,70,70,50,70,70,50,50,50,40,70,70,40,70,50,40
smart ip camera,AED,10,∞,∞,High,100,,,,,,,,10,0,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,0,10,10
c cctv,AED,10,0%,0%,High,100,,,,,,,,10,0,10,0,0,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10
ethernet camera system,AED,10,∞,∞,High,100,,,,,,,,0,10,0,0,0,10,10,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,10,10
cctv price,AED,30,33%,100%,High,100,17.24,186.23,,,,,,20,30,20,20,90,10,30,20,20,20,20,20,20,30,30,30,40,20,30,50,20,30,30,40
poe cctv kit,AED,10,0%,-100%,Unknown,,,,,,,,,10,0,0,10,0,0,10,0,10,0,10,10,0,10,0,10,0,0,0,0,0,0,0,0
best ip security camera system,AED,10,0%,∞,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,10
smart ptz camera,AED,10,100%,100%,High,100,53.45,119.82,,,,,,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20
cctv software for pc,AED,10,0%,-50%,Low,19,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10
ip camera price,AED,90,80%,29%,High,100,13.79,75.86,1%,,,,,170,90,110,110,110,70,110,90,90,110,70,70,90,70,90,40,90,90,50,70,50,50,70,90
network video recorder system,AED,10,0%,-50%,High,92,,,,,,,,10,10,20,10,10,10,10,10,10,30,10,20,20,10,10,10,20,20,20,10,10,10,10,10
ptz cctv camera,AED,20,0%,0%,High,100,52.92,123.27,,,,,,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,20,10,20,10,20,20,30,20
security cameras made in usa,AED,10,-100%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,10,0,10,0,10,10,0,0
cctv camera world,AED,10,∞,∞,Low,0,,,,,,,,10,0,10,10,10,10,0,10,10,10,10,0,10,0,10,10,10,10,10,10,0,0,10,10
ip cctv,AED,20,-50%,0%,High,100,,,,,,,,10,10,10,20,10,20,20,10,10,30,20,10,10,10,20,10,20,10,30,10,20,20,10,10
best ip camera software,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,0,10,0,10,0,10,0,10,10,0,10,10,0,10,10,10,0,10,10,0,0
dome cctv camera,AED,90,-22%,40%,High,100,17.24,187.76,,,,,,70,110,70,50,70,70,70,90,90,70,70,50,90,110,70,90,70,90,90,90,90,90,70,70
best cctv camera brand,AED,110,-22%,-22%,High,100,25.86,145.69,3%,,,,,170,110,110,140,110,110,140,110,140,140,110,90,110,110,110,90,110,110,140,110,90,90,110,70
us made security cameras,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
wireless cctv camera for home,AED,10,-50%,0%,High,100,,,,,,,,10,10,10,10,10,0,10,10,0,10,20,10,10,10,20,10,30,30,10,20,10,20,10,10
poe ptz camera,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10
cctv wifi,AED,10,0%,0%,Medium,60,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,20,30,20,10,10,10,20,10,10,10,10
rohs camera,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
unv nvr,AED,70,0%,0%,High,100,8.86,26.72,,,,,,70,50,110,50,70,70,70,70,40,50,70,70,70,50,50,40,90,50,70,70,70,70,70,70
mobile cctv camera,AED,30,-40%,-57%,High,100,17.24,106.32,,,,,,20,10,20,20,20,20,20,10,30,20,30,70,30,40,30,30,30,20,30,30,30,50,20,30
poe cctv camera,AED,10,0%,0%,High,100,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10
security camera nvr,AED,10,0%,0%,High,100,,,,,,,,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,0,10,10,10,10,10,10
ip camera set,AED,10,0%,∞,High,100,14.65,28.63,,,,,,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10
cctv cost,AED,10,0%,0%,High,74,17.5,124.14,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10
wifi camera hd wireless ip camera,AED,10,0%,0%,High,100,,,,,,,,20,20,20,10,20,10,10,10,10,10,10,10,10,10,0,0,10,0,10,10,0,10,10,10
dome security cameras,AED,90,-22%,40%,High,100,17.24,187.76,,,,,,70,110,70,50,70,70,70,90,90,70,70,50,90,110,70,90,70,90,90,90,90,90,70,70
ip kamera wifi,AED,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0
ip cctv system,AED,20,100%,100%,High,100,44.36,129.08,,,,,,20,20,30,10,20,20,20,20,10,20,20,10,20,10,20,10,30,30,30,10,10,10,10,20
axis camera system,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,10,0,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0
ip camera systems for business,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0,10,0,0,0,0
onvif nvr,AED,10,0%,0%,High,100,,,,,,,,10,0,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,0,10,0,10,10,10
bullet cameras,AED,390,-19%,0%,High,100,17.24,139.65,< 1%,,,,,390,390,390,320,390,390,390,390,390,390,390,390,480,480,480,390,480,390,480,480,480,480,480,390
security camera price,AED,10,100%,0%,High,81,17.24,72.41,,,,,,10,10,10,10,20,10,10,20,10,20,10,20,30,20,10,10,20,10,10,10,30,10,10,20
unv security cameras,AED,50,0%,0%,High,100,12.22,150.68,2%,,,,,70,90,70,40,70,50,70,70,30,50,50,50,70,90,40,20,50,40,30,40,40,50,50,50
cctv nvr,AED,90,-18%,29%,High,100,14.65,87.3,,,,,,70,70,90,70,90,70,90,70,70,110,90,70,90,90,110,70,110,70,90,110,90,110,110,90
cctv camera for business,AED,10,0%,0%,High,86,,,,,,,,10,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10
nvr cctv system,AED,30,50%,50%,High,100,18.1,164.29,,,,,,20,20,20,30,30,20,30,30,20,20,30,20,20,40,40,20,30,30,20,30,20,20,30,30
wireless cctv camera price,AED,20,0%,0%,High,100,,,,,,,,40,40,30,40,30,30,20,30,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10
wifi camera price,AED,50,-29%,25%,High,100,13.79,85.34,,,,,,50,70,40,40,50,50,50,50,30,30,40,40,30,40,50,40,40,40,40,70,40,70,50,50
20 camera security system,AED,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,10,0
types of cctv cameras,AED,390,-18%,0%,High,100,23.28,141.71,,,,,,480,390,320,260,390,390,480,590,390,390,480,320,390,390,320,320,390,320,480,390,320,390,390,320
ip cameras canada,AED,10,0%,0%,High,100,,,,,,,,10,10,0,0,0,10,10,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10
best poe security cameras,AED,10,∞,∞,High,100,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10
poe cctv system,AED,10,0%,∞,High,71,,,,,,,,10,10,10,10,0,0,10,10,10,0,10,0,10,0,10,0,0,0,10,10,10,10,10,10
security camera systems for sale,AED,10,∞,∞,High,76,,,,,,,,10,0,0,0,0,0,10,0,10,0,0,0,10,0,10,0,0,10,0,10,0,0,10,10
cctv camera online,AED,30,-33%,0%,High,100,22.41,115,,,,,,50,40,40,30,30,20,30,40,40,10,30,20,20,10,20,30,20,30,40,10,40,30,30,20
unv ip camera,AED,70,0%,0%,High,100,12.41,132.37,1%,,,,,90,70,70,70,70,70,70,70,50,90,110,90,70,70,70,90,70,70,110,90,90,90,70,90
ip cameras for sale,AED,10,0%,∞,Low,0,,,,,,,,10,10,10,0,10,10,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,10,10,10
home cctv camera price,AED,30,0%,100%,High,91,16.38,120.69,,,,,,50,50,40,20,10,20,40,10,20,10,30,10,20,20,20,20,30,30,30,20,40,20,20,20
internet security cameras,AED,10,0%,∞,High,100,,,,,,,,0,0,10,10,10,10,10,10,10,10,0,0,10,10,0,10,0,10,10,10,10,10,10,10
ip camera dvr,AED,10,0%,-50%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,20,20,20,10,10,10,10,10,20,10,10,20,10
ip camera nvr,AED,20,-50%,-50%,High,100,,,,,,,,20,10,20,10,20,20,20,20,20,20,30,20,20,20,30,10,20,10,20,20,20,20,20,10
usa made security cameras,AED,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cctv for shop,AED,10,0%,0%,Low,29,,,,,,,,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,0,10,10,10,0,0,10,10,10
outdoor dome camera,AED,10,-50%,-50%,High,100,,,,,,,,10,10,10,10,20,20,20,10,10,20,10,20,10,20,10,10,10,10,20,20,20,20,20,10
network camera system,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,0,0,10,0,0,10,0,10,10,10,0,10,0,0,10,10,10,10,10,10,10,0
ptz wifi camera,AED,10,0%,0%,High,100,18.1,89.65,,,,,,20,20,10,10,20,10,20,10,10,10,20,10,10,10,30,20,20,20,10,20,20,10,10,10
poe cctv camera system,AED,10,0%,∞,High,100,,,,,,,,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,0,10,10,40,0,0,10,0,10
cctv camera pro,AED,10,0%,0%,High,97,52.59,329.64,10%,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ip camera installation,AED,20,-50%,-50%,Medium,55,132.61,328.57,,,,Y,,10,10,20,10,10,20,10,20,10,20,20,20,20,10,10,10,20,10,20,10,20,20,10,10
hd wireless ip camera,AED,10,0%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,0
home camera price,AED,30,0%,50%,High,100,14.65,116.38,,,,,,30,20,20,30,30,20,30,10,30,20,30,20,30,40,20,10,20,20,40,20,30,30,20,30
best security camera software,AED,10,0%,0%,Unknown,,,,,,,,,10,10,10,0,0,10,10,10,0,10,0,0,10,10,10,0,0,10,10,0,10,0,0,0
nvr software for ip cameras,AED,10,0%,0%,Unknown,,,,,,,,,10,10,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0
professional cctv camera,AED,10,0%,0%,High,97,52.59,329.64,10%,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ip camera recording software,AED,10,0%,-100%,Unknown,,,,,,,,,10,10,10,10,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0
cctv camera manufacturers in china,AED,10,0%,0%,High,100,136.2,310.97,,,,,,10,10,0,0,10,0,10,0,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10
ip dome camera,AED,30,-50%,0%,High,100,,,,,,,,40,30,30,30,40,30,30,30,20,30,20,20,30,20,20,20,10,20,20,30,20,40,40,20
hd ip camera,AED,10,0%,0%,High,86,22.41,84.49,,,,,,10,10,10,20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10
ip camera software for pc,AED,10,∞,0%,Low,0,,,,,,,,10,10,10,0,10,0,10,0,0,10,0,10,0,0,10,10,10,10,10,10,10,0,10,10
network security cameras,AED,10,100%,100%,Low,0,,,,,,,,0,10,10,10,0,0,0,10,0,10,0,10,0,10,0,0,0,0,10,10,0,10,0,20
ptz security camera outdoor,AED,10,0%,0%,High,100,,,,,,,,10,10,0,10,10,10,0,0,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10
cctv camera cost,AED,10,0%,0%,High,100,50.18,149.13,,,,,,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
poe ip camera system,AED,10,0%,0%,Unknown,,,,,,,,,10,10,0,0,0,10,0,0,10,0,10,0,0,0,10,0,0,0,10,10,10,0,0,0
high quality cctv camera,AED,10,0%,100%,High,100,40.52,205.83,5%,,,,,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,20,10,10,20,10,10,20,10,20
indoor ip camera,AED,10,0%,0%,High,71,14.65,121.55,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ip camera shop,AED,10,-100%,-100%,Unknown,,,,,,,,,10,0,0,10,0,10,10,10,10,0,0,10,10,0,10,0,0,10,10,10,0,10,0,0
ptz security camera system,AED,10,0%,∞,Low,0,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,10,0,0,0,10,10,10,0,10
security cctv camera,AED,50,67%,0%,High,100,46.19,172.74,,,,,,70,50,50,50,50,50,70,40,50,50,50,50,50,40,110,70,50,40,50,70,40,30,50,50
